"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/16/2019","AQS","060370002","2","46.3","ppb","43","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/17/2019","AQS","060370002","2","12.6","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/18/2019","AQS","060370002","2","33.1","ppb","31","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/19/2019","AQS","060370002","2","38","ppb","36","Azusa","18","75.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/20/2019","AQS","060370002","2","12.9","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/21/2019","AQS","060370002","2","13.4","ppb","12","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/22/2019","AQS","060370002","2","22.7","ppb","21","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/23/2019","AQS","060370002","2","10.9","ppb","9","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/24/2019","AQS","060370002","2","12.1","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/25/2019","AQS","060370002","2","30.2","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/26/2019","AQS","060370002","2","43.4","ppb","41","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/27/2019","AQS","060370002","2","26","ppb","25","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/28/2019","AQS","060370002","2","17.3","ppb","16","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/29/2019","AQS","060370002","2","19.6","ppb","18","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/30/2019","AQS","060370002","2","24.2","ppb","23","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/31/2019","AQS","060370002","2","16.6","ppb","15","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","074","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
